Factura	Fecha	FechaVencimiento	Cliente	Producto	Cantidad	Moneda	Precio	Total	Almacén	Vendedor	TotalUSD	Impuesto	Tipo de cambio	Ganacia	GananciaUSD
65927	3/7/19	3/8/19	C4396	401	48.00	CRC	2.200.000	10,560.00	1	-1	18.10	0	1.00	2,640.0000	45.200
65927	3/7/19	3/8/19	C4396	406	48.00	CRC	2.198.400	10,552.32	1	-1	18.09	0	1.00	2,635.7500	45.200
71980	30/7/19	30/8/19	C1677	401	12.00	CRC	2.200.000	2,640.00	1	-1	4.60	0	1.00	6.600.000	11.500
71980	30/7/19	30/8/19	C1677	406	12.00	CRC	2.198.400	2,638.08	1	-1	4.60	0	1.00	6.583.000	11.500
73357	6/8/19	6/9/19	C1827	401	48.00	CRC	2.200.000	10,560.00	1	-1	18.42	0	1.00	2,640.0000	46.000
75472	16/8/19	16/10/19	C0566	406	48.00	CRC	2.198.400	10,552.32	1	-1	18.47	0	1.00	2,632.8300	46.100
79737	4/9/19	4/11/19	C0566	401	48.00	CRC	2.200.000	10,560.00	1	-1	18.22	0	1.00	2,640.0000	45.600
79737	4/9/19	4/11/19	C0566	406	48.00	CRC	2.198.400	10,552.32	1	-1	18.21	0	1.00	2,632.6600	45.500
84111	24/9/19	24/10/19	C1696	486	6.00	CRC	1,771.0000	10,626.00	1	-1	18.16	13	1.00	3,375.8500	57.700
85963	2/10/19	2/12/19	C0566	401	48.00	CRC	2.200.000	10,560.00	1	-1	18.11	0	1.00	2,640.0000	45.300
85963	2/10/19	2/12/19	C0566	406	48.00	CRC	2.198.400	10,552.32	1	-1	18.09	0	1.00	2,632.4700	45.100
86104	2/10/19	14/12/19	C0104	406	48.00	CRC	2.198.400	10,552.32	1	-1	18.09	0	1.00	2,632.4600	45.100
86104	2/10/19	14/12/19	C0104	401	89.00	CRC	2.200.000	19,580.00	1	-1	33.57	0	1.00	4,895.0100	83.900
86588	4/10/19	4/10/19	C2270	498	10.00	CRC	1,560.0000	15,600.00	1	-1	26.63	13	1.00	5,614.0700	95.800
90839	22/10/19	22/11/19	C1144	483	1.00	CRC	4.485.000	448.50	1	-1	0.77	13	1.00	1.414.800	0.2500
